(30, -20)
(20, -20)
(10, -20)
(0, -20)
(-10, -20)
(-20, -20)
(-30, -20)
(-40, -20)
(-50, -20)
(-50, -10)
(-40, -10)
(-30, -10)
(-20, -10)
(-10, -10)
(0, -10)
(10, -10)
(20, -10)
(30, -10)
(30, 0)
(20, 0)
(10, 0)
(0, 0)
(-10, 0)
(-20, 0)
(-30, 0)
(-40, 0)
(-50, 0)
(-50, 10)
(-40, 10)
(-30, 10)
(-20, 10)
(-10, 10)
(0, 10)
(10, 10)
(20, 10)
(30, 10)
(30, 20)
(20, 20)
(10, 20)
(0, 20)
(-10, 20)
(-20, 20)
(-30, 20)
(-40, 20)
(-50, 20)
(-50, 30)
(-40, 30)
(-30, 30)
(-20, 30)
(-10, 30)
(0, 30)
(10, 30)
(20, 30)
(30, 30)
(30, 40)
(20, 40)
(10, 40)
(0, 40)
(-10, 40)
(-20, 40)
(-30, 40)
(-40, 40)
(-50, 40)
(-50, 50)
(-40, 50)
(-30, 50)
(-20, 50)
(-10, 50)
(0, 50)
(10, 50)
(20, 50)
(30, 50)
(30, 60)
(20, 60)
(10, 60)
(0, 60)
(-10, 60)
(-20, 60)
(-30, 60)
(-40, 60)
(-50, 60)
(-50, 70)
(-40, 70)
(-30, 70)
(-20, 70)
(-10, 70)
(0, 70)
(10, 70)
(20, 70)
(30, 70)
(30, 80)
(20, 80)
(10, 80)
(0, 80)
(-10, 80)
(-20, 80)
(-30, 80)
(-40, 80)
(-50, 80)
(-50, 90)
(-40, 90)
(-30, 90)
(-20, 90)
(-10, 90)
(0, 90)
(10, 90)
(20, 90)
(30, 90)
(30, 100)
(20, 100)
(10, 100)
(0, 100)
(-10, 100)
(-20, 100)
(-30, 100)
(-40, 100)
(-50, 100)
(-50, 110)
(-40, 110)
(-30, 110)
(-20, 110)
(-10, 110)
(0, 110)
(10, 110)
(20, 110)
(30, 110)
(30, 120)
(20, 120)
(10, 120)
(0, 120)
(-10, 120)
(-20, 120)
(-30, 120)
(-40, 120)
(-50, 120)
(-50, 130)
(-40, 130)
(-30, 130)
(-20, 130)
(-10, 130)
(0, 130)
(10, 130)
(20, 130)
(30, 130)
(30, 140)
(20, 140)
(10, 140)
(0, 140)
(-10, 140)
(-20, 140)
(-30, 140)
(-40, 140)
(-50, 140)
(-50, 150)
(-40, 150)
(-30, 150)
(-20, 150)
(-10, 150)
(0, 150)
(10, 150)
(20, 150)
(30, 150)
